sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.7713;4.1401;8.4708;-1.6016;4.2267;8.7029;0.1024;0.0499;0.1387;0.0056;0.0106;-0.0042;1.23;-28.76;-28.33;163.93;-25.42;10.5;1004.44;76.4;51.894463;0.252427;166.0;NaN;72.46358;1.0;56.0;239.8;4 / 19;1824145;2015-03-03 14:27:29:700
-1.3166;3.9688;8.2708;-1.6158;4.2149;8.706;0.0173;-0.0343;0.0173;-0.0083;0.0032;-0.0063;-0.53;-27.71;-30.04;152.94;-25.54;10.5;1004.43;75.775;51.894463;0.252427;166.0;NaN;72.54733;1.0;56.0;239.8;4 / 19;1824646;2015-03-03 14:27:30:201
-1.8213;4.0711;8.7517;-1.5687;4.1952;8.7241;0.0817;-0.011;-0.0887;-0.0019;0.0106;-0.0063;1.05;-28.23;-29.19;161.79;-25.36;10.45;1004.43;75.801;51.894463;0.252427;166.0;NaN;72.54733;1.0;56.0;239.8;4 / 19;1825144;2015-03-03 14:27:30:699
-1.6689;4.2853;8.6327;-1.606;4.2161;8.7072;0.0753;-0.0237;0.1054;0.0035;0.0149;-0.0031;1.05;-27.53;-29.19;161.81;-25.4;10.43;1004.42;75.844;51.894463;0.252427;166.0;NaN;72.6331;1.0;56.0;239.8;5 / 19;1825645;2015-03-03 14:27:31:200
-1.538;4.3234;8.7231;-1.5781;4.2155;8.7126;0.0108;0.0543;0.0891;-0.004;0.0096;-0.0031;1.05;-29.29;-29.19;163.17;-25.52;10.25;1004.43;76.465;51.894463;0.252427;166.0;NaN;72.54733;1.0;56.0;239.8;5 / 19;1826145;2015-03-03 14:27:31:700
-1.4904;4.1925;8.9445;-1.6076;4.185;8.7219;-0.0071;-0.0357;-0.0282;-8.0E-4;0.0106;-0.0042;1.23;-27.36;-28.67;160.83;-25.28;10.34;1004.43;76.591;51.894463;0.252427;166.0;NaN;72.54733;1.0;56.0;239.8;5 / 19;1826645;2015-03-03 14:27:32:200
-1.6927;4.2211;8.5255;-1.6089;4.1911;8.7187;0.0835;-0.0649;-0.1407;3.0E-4;0.0064;-0.0052;-0.18;-28.06;-30.04;156.76;-25.31;10.48;1004.42;75.725;51.894463;0.252427;166.0;NaN;72.6331;1.0;56.0;239.8;5 / 19;1827144;2015-03-03 14:27:32:699
-1.7023;4.0663;8.9302;-1.6498;4.1755;8.7186;0.1179;-0.0225;-0.0549;0.0035;0.001;-0.001;1.23;-28.41;-29.36;161.53;-25.27;10.63;1004.42;75.635;51.894463;0.252427;166.0;NaN;72.6331;1.0;56.0;239.8;7 / 19;1827645;2015-03-03 14:27:33:200
-1.2785;4.0901;8.1375;-1.5712;4.1915;8.7254;0.0018;-0.0181;-0.2104;3.0E-4;-0.0043;-0.0031;-0.18;-27.71;-30.04;157.25;-25.11;10.33;1004.39;75.665;51.894463;0.252427;166.0;NaN;72.8884;1.0;56.0;239.8;7 / 19;1828145;2015-03-03 14:27:33:700
-1.6642;4.1568;8.3684;-1.5578;4.1682;8.739;0.0051;-0.1093;0.066;0.0088;0.0074;-0.0031;1.23;-28.76;-28.33;164.77;-25.26;10.08;1004.38;75.48;51.894463;0.252427;166.0;NaN;72.972145;1.0;56.0;239.8;7 / 19;1828647;2015-03-03 14:27:34:202
-2.0569;4.0425;8.6398;-1.5983;4.1265;8.7514;-0.1122;0.0073;0.1143;0.0013;-0.0097;-0.001;0.88;-26.66;-28.67;161.2;-24.88;10.35;1004.34;75.831;51.894463;0.252427;166.0;NaN;73.31218;1.0;56.0;239.8;7 / 19;1829145;2015-03-03 14:27:34:700
-1.3119;4.0402;8.1852;-1.5507;4.1397;8.7538;0.1916;-0.018;0.0035;0.0078;-0.0075;-0.0031;1.75;-29.29;-29.19;167.22;-24.87;10.29;1004.33;76.238;51.894463;0.252427;166.0;NaN;73.396935;1.0;56.0;239.8;7 / 19;1829645;2015-03-03 14:27:35:200
-1.6142;4.1901;8.4208;-1.4928;4.1303;8.7682;0.01;-0.0324;0.1143;0.0056;0.0096;-0.002;0.35;-28.23;-29.19;159.72;-25.11;9.7;1004.32;75.934;51.894463;0.252427;166.0;NaN;73.4827;1.0;56.0;239.8;7 / 19;1830145;2015-03-03 14:27:35:700
-1.4975;4.2211;8.9731;-1.541;4.1205;8.7645;-0.0276;-0.0047;0.0701;-0.0051;0.0;-0.0042;0.7;-28.59;-28.85;164.17;-24.85;9.97;1004.32;76.028;51.7915;0.211605;691.0;NaN;73.4827;138.5;149.0;149.6;7 / 19;1830644;2015-03-03 14:27:36:199
-1.6832;4.0806;8.3161;-1.5545;4.098;8.7727;0.1001;0.0171;-0.0239;-0.004;0.0032;-0.0063;1.4;-28.23;-30.89;160.67;-24.7;10.05;1004.3;75.627;51.7915;0.211605;691.0;NaN;73.65221;138.5;149.0;149.6;7 / 19;1831146;2015-03-03 14:27:36:701
-1.688;4.2996;8.885;-1.6179;4.0605;8.7787;-0.0538;-0.1008;-0.1004;0.0024;-0.0075;-0.0042;1.23;-29.11;-30.72;161.39;-24.68;10.3;1004.29;75.998;51.7915;0.211605;691.0;NaN;73.73695;138.5;149.0;149.6;7 / 19;1831645;2015-03-03 14:27:37:200
-1.7308;4.0997;9.4467;-1.5591;4.0242;8.806;-0.0808;0.0436;0.2749;-0.0051;-0.0203;-0.0031;1.75;-27.18;-28.85;166.38;-24.34;10.02;1004.26;75.976;51.7915;0.211605;691.0;NaN;73.99221;138.5;149.0;149.6;7 / 19;1832149;2015-03-03 14:27:37:704
-1.8546;3.7331;8.7755;-1.5682;4.0178;8.8073;0.0298;-0.147;-0.3573;-0.0051;-0.0011;-0.0074;0.88;-28.06;-29.36;163.32;-24.26;10.12;1004.25;76.369;51.7915;0.211605;691.0;NaN;74.07696;138.5;149.0;149.6;7 / 19;1832647;2015-03-03 14:27:38:202
-1.7784;3.7688;8.7612;-1.5194;3.9896;8.8287;-0.0467;-0.0938;-0.262;-0.0083;0.0;-0.0106;0.88;-28.76;-29.02;165.17;-24.15;9.68;1004.23;75.486;51.7915;0.211605;691.0;NaN;74.24746;138.5;149.0;149.6;7 / 19;1833146;2015-03-03 14:27:38:701
-1.6142;3.9092;9.6443;-1.6017;3.9728;8.8217;0.1813;0.0528;0.0975;0.0088;0.0245;-0.0084;0.7;-28.23;-29.87;162.18;-23.92;10.25;1004.2;75.576;51.7915;0.211605;691.0;NaN;74.50169;138.5;149.0;149.6;7 / 19;1833645;2015-03-03 14:27:39:200
-1.5213;3.6688;8.7683;-1.6374;3.9823;8.8108;0.0602;-0.0085;-0.0232;3.0E-4;0.0192;-0.0095;2.63;-29.81;-27.65;172.44;-23.96;10.45;1004.19;75.073;51.7915;0.211605;691.0;NaN;74.58644;138.5;149.0;149.6;7 / 19;1834145;2015-03-03 14:27:39:700
-1.1952;3.795;8.0852;-1.579;3.9876;8.8191;0.1486;-0.0933;-0.2433;0.0099;0.0053;-0.001;2.46;-28.59;-28.5;167.54;-23.92;10.41;1004.16;75.467;51.7915;0.211605;691.0;NaN;74.84167;138.5;149.0;149.6;7 / 19;1834645;2015-03-03 14:27:40:200
-1.7689;4.0806;9.0802;-1.552;3.991;8.8223;-0.1139;0.1513;0.5297;-0.0019;0.0267;-0.002;1.05;-27.53;-28.85;163.95;-24.07;9.86;1004.14;75.788;51.7915;0.211605;691.0;NaN;75.01115;138.5;149.0;149.6;7 / 19;1835145;2015-03-03 14:27:40:700
-1.3833;4.0021;8.5589;-1.6417;3.9214;8.8373;-0.0881;0.0345;0.0831;-0.0029;-0.031;-0.0031;0.88;-27.01;-29.36;161.76;-23.77;10.56;1004.12;76.236;51.7915;0.211605;691.0;NaN;75.18163;138.5;149.0;149.6;7 / 19;1835646;2015-03-03 14:27:41:201
-1.3047;4.0164;8.8683;-1.5333;3.9137;8.8602;-0.0758;-0.0046;0.0941;-0.0051;-0.0332;-0.0052;1.4;-27.18;-30.55;160.37;-23.62;10.07;1004.12;75.825;51.7915;0.211605;691.0;NaN;75.18163;138.5;149.0;149.6;7 / 19;1836146;2015-03-03 14:27:41:701
-1.5785;3.933;8.6255;-1.5283;3.9255;8.8558;0.0167;-0.1168;-0.3726;-0.0104;-0.0214;-0.0074;1.75;-27.53;-28.85;168.4;-23.56;9.66;1004.1;74.253;51.7915;0.211605;691.0;NaN;75.351105;138.5;149.0;149.6;7 / 19;1836645;2015-03-03 14:27:42:200
-1.7308;4.0878;9.0802;-1.451;3.956;8.8552;0.1656;0.1564;0.4582;-0.0029;0.0149;-0.0042;2.11;-27.53;-29.19;168.46;-23.74;9.58;1004.09;74.89;51.7915;0.211605;691.0;NaN;75.436844;138.5;149.0;149.6;7 / 19;1837151;2015-03-03 14:27:42:706
-1.2143;3.7974;7.859;-1.525;3.959;8.8415;-0.0014;-0.2411;-0.2764;0.0078;0.0149;-0.0031;3.34;-25.61;-28.67;171.28;-23.71;9.56;1004.07;75.128;51.7915;0.211605;691.0;NaN;75.60732;138.5;149.0;149.6;7 / 19;1837645;2015-03-03 14:27:43:200
-1.6713;3.9926;9.0064;-1.5824;3.973;8.8251;-0.1062;-0.006;-0.0343;0.011;0.0064;0.0012;2.63;-26.31;-27.99;170.88;-23.9;10.17;1004.04;75.54;51.7915;0.211605;691.0;NaN;75.86151;138.5;149.0;149.6;7 / 19;1838147;2015-03-03 14:27:43:702
-1.8403;3.8712;8.6612;-1.5795;3.9592;8.8318;-0.0651;-0.1081;-0.1057;0.0013;-0.0171;0.0022;1.93;-27.36;-29.36;166.52;-23.78;10.13;1004.03;73.659;51.7915;0.211605;691.0;NaN;75.94624;138.5;149.0;149.6;7 / 19;1838645;2015-03-03 14:27:44:200
-1.0548;3.8307;8.9492;-1.4151;3.9527;8.8625;0.0749;0.079;0.1691;-0.0115;-0.015;-0.0042;1.93;-28.06;-29.02;168.76;-23.77;9.42;1004.01;74.802;51.7915;0.211605;691.0;NaN;76.11671;138.5;149.0;149.6;7 / 19;1839145;2015-03-03 14:27:44:700
-1.9427;4.0925;8.904;-1.3932;3.9213;8.8799;-0.0774;0.0312;-0.086;-0.0072;-0.0171;-0.002;1.58;-27.36;-29.36;169.0;-23.55;9.0;1003.99;74.143;51.7915;0.211605;691.0;NaN;76.28717;138.5;149.0;149.6;7 / 19;1839645;2015-03-03 14:27:45:200
-1.5618;3.7474;8.397;-1.4109;3.9204;8.8775;-0.016;-0.0423;-0.2036;-0.0072;-0.0107;1.0E-4;2.63;-27.36;-29.02;172.95;-23.58;9.09;1003.99;76.04;51.7915;0.211605;691.0;NaN;76.28717;138.5;149.0;149.6;7 / 19;1840147;2015-03-03 14:27:45:702
-1.8808;3.6783;8.9064;-1.4945;3.9356;8.8571;-0.173;-0.074;0.0034;0.0131;0.0;0.0065;1.23;-27.71;-30.38;164.53;-23.54;9.21;1003.98;74.036;51.7915;0.211605;691.0;NaN;76.37089;138.5;149.0;149.6;7 / 19;1840645;2015-03-03 14:27:46:200
-1.7594;3.9997;8.447;-1.5534;3.9744;8.8296;-0.0126;-0.0552;-0.106;0.0088;-0.0054;1.0E-4;1.4;-28.59;-28.85;164.88;-23.75;9.99;1003.96;74.681;51.7915;0.211605;691.0;NaN;76.54134;138.5;149.0;149.6;7 / 19;1841146;2015-03-03 14:27:46:701
-1.6118;3.8259;8.7755;-1.5474;3.976;8.8299;-0.1864;-0.0756;0.347;0.0035;-0.0086;-0.001;1.05;-27.88;-28.85;164.26;-24.04;9.71;1003.95;74.446;51.7915;0.211605;691.0;NaN;76.62607;138.5;149.0;149.6;7 / 19;1841645;2015-03-03 14:27:47:200
-1.5047;3.9664;8.2232;-1.5446;4.0386;8.8019;0.2456;-0.0897;-0.2047;0.0163;0.0128;0.0012;0.7;-28.94;-29.87;163.62;-24.09;9.98;1003.94;74.971;51.7915;0.211605;691.0;NaN;76.710785;138.5;149.0;149.6;7 / 19;1842145;2015-03-03 14:27:47:700
-1.031;4.0187;8.7779;-1.6234;4.0457;8.7845;0.038;-0.059;0.1113;0.0163;0.0096;0.0012;1.75;-28.94;-28.85;167.52;-24.4;10.28;1003.93;75.545;51.7915;0.211605;691.0;NaN;76.79652;138.5;149.0;149.6;7 / 19;1842646;2015-03-03 14:27:48:201
-1.4357;4.0068;8.7136;-1.6149;4.0518;8.7832;0.1656;-0.023;-0.0169;0.0045;0.0096;-0.0095;1.4;-27.88;-29.53;161.04;-24.49;10.58;1003.91;74.742;51.7915;0.211605;691.0;NaN;76.966965;138.5;149.0;149.6;7 / 19;1843145;2015-03-03 14:27:48:700
-1.5904;3.9188;8.616;-1.5872;4.0482;8.79;0.0624;0.0806;0.1034;0.0067;-0.0043;-0.0031;1.23;-27.36;-29.7;160.15;-24.4;10.44;1003.9;74.384;51.7915;0.211605;691.0;NaN;77.050674;138.5;149.0;149.6;8 / 19;1843647;2015-03-03 14:27:49:202
-1.4595;3.9307;8.2351;-1.5572;4.0649;8.7876;0.0571;-0.0308;-0.027;0.011;0.0021;0.0065;1.58;-28.41;-28.67;166.88;-24.36;10.2;1003.9;73.972;51.7915;0.211605;691.0;NaN;77.050674;138.5;149.0;149.6;8 / 19;1844145;2015-03-03 14:27:49:700
-1.5332;3.7974;8.4732;-1.6094;4.0835;8.7695;-0.2379;0.0417;0.1769;3.0E-4;-0.0374;0.0022;0.88;-28.76;-29.7;162.79;-24.6;10.22;1003.88;75.257;51.7915;0.211605;691.0;NaN;77.221115;138.5;149.0;149.6;8 / 19;1844648;2015-03-03 14:27:50:203
-1.6047;4.2092;8.9254;-1.5623;4.0826;8.7785;0.0543;0.105;0.2034;-8.0E-4;-0.0161;-0.002;1.4;-27.53;-27.82;164.12;-24.54;10.19;1003.86;74.692;51.7915;0.211605;691.0;NaN;77.391556;138.5;149.0;149.6;8 / 19;1845146;2015-03-03 14:27:50:701
-1.5071;3.5712;8.8731;-1.5417;4.1009;8.7736;-0.0103;-0.1038;0.1253;0.0045;-0.0161;1.0E-4;0.17;-28.06;-28.67;159.01;-24.68;10.31;1003.86;75.108;51.7915;0.211605;691.0;NaN;77.391556;138.5;149.0;149.6;8 / 19;1845645;2015-03-03 14:27:51:200
-2.1664;4.2972;8.5708;-1.558;4.1305;8.7568;-0.1042;-0.0675;0.0133;0.0024;0.0074;0.0012;0.52;-27.36;-29.02;162.08;-24.88;9.92;1003.86;75.208;51.7915;0.211605;691.0;NaN;77.391556;138.5;149.0;149.6;8 / 19;1846145;2015-03-03 14:27:51:700
-1.4785;4.3187;8.8207;-1.5431;4.167;8.7421;0.1021;0.1156;0.1392;-0.0019;-0.0022;0.0033;0.7;-28.59;-29.19;163.6;-24.98;10.23;1003.84;74.622;51.7915;0.211605;691.0;NaN;77.56098;138.5;149.0;149.6;8 / 19;1846645;2015-03-03 14:27:52:200
-1.5571;4.2354;8.7874;-1.535;4.1653;8.7444;-0.077;-0.0588;0.1421;3.0E-4;0.0085;-0.0052;1.05;-28.59;-27.82;165.06;-25.19;9.94;1003.82;75.11;51.7915;0.211605;691.0;NaN;77.731415;138.5;149.0;149.6;8 / 19;1847145;2015-03-03 14:27:52:700
-1.3143;3.8259;8.685;-1.4263;4.1556;8.7674;0.2178;-0.1067;-0.2646;0.0024;0.0149;0.0022;-0.18;-27.71;-30.04;158.92;-25.14;9.45;1003.83;75.255;51.7915;0.211605;691.0;NaN;77.646706;138.5;149.0;149.6;8 / 19;1847645;2015-03-03 14:27:53:200
-0.9834;4.0759;8.2351;-1.4606;4.177;8.7515;0.0676;-0.0864;-0.1222;0.0013;0.0096;1.0E-4;1.4;-27.88;-28.5;164.4;-25.15;9.22;1003.82;75.503;51.7915;0.211605;691.0;NaN;77.731415;138.5;149.0;149.6;8 / 19;1848145;2015-03-03 14:27:53:700
-1.7713;4.3139;9.5086;-1.5789;4.163;8.7377;-0.1112;0.1964;0.6108;-0.0051;-0.0033;-0.002;1.4;-28.59;-30.21;162.64;-25.19;10.05;1003.8;75.223;51.7915;0.211605;691.0;NaN;77.90185;138.5;149.0;149.6;8 / 19;1848645;2015-03-03 14:27:54:200
-1.388;4.4924;8.9064;-1.6357;4.1443;8.7361;0.0973;-0.0077;-0.118;-0.0093;0.001;-0.0063;0.0;-27.53;-29.19;158.59;-25.02;10.37;1003.82;75.224;51.7915;0.211605;691.0;NaN;77.731415;138.5;149.0;149.6;8 / 19;1849145;2015-03-03 14:27:54:700
-1.7927;4.1306;8.9397;-1.6363;4.135;8.7404;0.1066;-0.0271;-0.0879;-0.0061;0.0288;-0.0116;1.75;-28.23;-29.87;164.68;-25.01;10.49;1003.82;75.106;51.7915;0.211605;691.0;NaN;77.731415;138.5;149.0;149.6;9 / 19;1849645;2015-03-03 14:27:55:200
-1.5213;4.0497;8.5279;-1.6599;4.1196;8.7432;0.2055;-0.135;-0.3947;0.012;-0.0022;-0.002;2.81;-26.83;-28.5;168.48;-24.77;10.86;1003.83;75.001;51.7915;0.211605;691.0;NaN;77.646706;138.5;149.0;149.6;9 / 19;1850145;2015-03-03 14:27:55:700
-1.7403;4.1306;8.9373;-1.5879;4.1585;8.7382;0.1185;0.0443;0.1683;-8.0E-4;0.0053;-0.0052;2.63;-28.76;-29.02;170.14;-25.03;10.69;1003.8;74.074;51.7915;0.211605;691.0;NaN;77.90185;138.5;149.0;149.6;9 / 19;1850645;2015-03-03 14:27:56:200
-1.3476;4.2639;8.7921;-1.5454;4.1706;8.74;0.0476;-0.0283;-0.0434;3.0E-4;0.0042;-0.002;1.75;-27.18;-28.85;165.54;-25.12;10.15;1003.78;76.282;51.7915;0.211605;691.0;NaN;78.07126;138.5;149.0;149.6;9 / 19;1851146;2015-03-03 14:27:56:701
-1.6785;4.2544;8.5041;-1.5123;4.1377;8.7614;-0.0189;-0.0381;0.0035;-0.0061;0.0117;-0.002;1.93;-28.06;-28.33;168.37;-25.01;9.8;1003.76;74.591;51.7915;0.211605;691.0;NaN;78.241684;138.5;149.0;149.6;9 / 19;1851645;2015-03-03 14:27:57:200
-1.7499;4.1854;8.904;-1.6617;4.1057;8.7494;-0.1721;-0.0016;-0.0161;-0.0051;-0.0203;-0.0042;3.16;-27.88;-29.53;168.95;-24.79;10.48;1003.73;75.103;51.7915;0.211605;691.0;NaN;78.4958;138.5;149.0;149.6;9 / 19;1852145;2015-03-03 14:27:57:700
-1.519;4.0354;8.3637;-1.6293;4.1172;8.7501;-0.0249;-0.1668;-0.1139;0.0056;0.0;-0.0042;0.88;-28.41;-29.36;161.79;-24.87;10.68;1003.7;75.769;51.7915;0.211605;691.0;NaN;78.750916;138.5;149.0;149.6;9 / 19;1852650;2015-03-03 14:27:58:205
-1.4309;3.9378;8.3613;-1.5025;4.1298;8.7668;0.1073;-0.07;-0.0617;0.0013;-0.0075;-0.001;1.23;-28.41;-28.67;162.69;-24.89;10.2;1003.67;74.218;51.7915;0.211605;691.0;NaN;79.00703;138.5;149.0;149.6;9 / 19;1853145;2015-03-03 14:27:58:700
-1.5356;4.014;8.2899;-1.5416;4.1064;8.7711;-0.0618;-0.0535;-0.0317;0.0067;-0.0086;-0.002;0.7;-29.29;-29.19;164.66;-24.8;9.73;1003.64;74.573;51.7915;0.211605;691.0;NaN;79.26112;138.5;149.0;149.6;10 / 19;1853645;2015-03-03 14:27:59:200
-1.4238;3.9354;8.6874;-1.5473;4.0905;8.7775;0.0685;0.1166;0.2361;3.0E-4;0.0117;-0.0042;1.05;-28.94;-29.19;164.12;-24.68;10.07;1003.6;74.908;51.7915;0.211605;691.0;NaN;79.60191;138.5;149.0;149.6;10 / 19;1854145;2015-03-03 14:27:59:700
-1.5785;3.8854;8.5993;-1.5157;4.1086;8.7745;0.0414;-0.0647;-0.0841;-8.0E-4;-0.0022;-0.001;1.23;-28.06;-29.02;163.32;-24.7;9.95;1003.58;75.295;51.7915;0.211605;691.0;NaN;79.7713;138.5;149.0;149.6;10 / 19;1854645;2015-03-03 14:28:00:200
-1.538;3.9973;8.6779;-1.5224;4.0782;8.7875;-0.072;0.0831;-0.06;-0.0029;0.0149;-0.002;2.63;-26.66;-30.04;170.37;-24.51;9.61;1003.53;75.542;51.7915;0.211605;691.0;NaN;80.19676;138.5;149.0;149.6;10 / 19;1855145;2015-03-03 14:28:00:700
-1.4761;3.9259;8.4708;-1.518;4.0466;8.8029;-0.0783;-0.0515;0.0557;0.0067;0.0;-0.001;1.05;-27.53;-29.53;162.96;-24.5;9.62;1003.5;75.393;51.7915;0.211605;691.0;NaN;80.45182;138.5;149.0;149.6;10 / 19;1855644;2015-03-03 14:28:01:199
-1.4856;3.9116;8.8826;-1.5751;4.0587;8.7873;0.0123;0.0453;0.1326;0.0056;-0.0033;-0.0052;2.63;-28.41;-29.02;170.74;-24.45;10.22;1003.45;75.342;51.7915;0.211605;691.0;NaN;80.87725;138.5;149.0;149.6;10 / 19;1856147;2015-03-03 14:28:01:702
-1.7046;3.8854;8.9112;-1.5235;4.0638;8.794;0.033;-0.0913;0.1687;0.0195;0.0106;0.0033;1.4;-28.94;-31.23;162.71;-24.43;9.75;1003.4;75.518;51.7915;0.211605;691.0;NaN;81.30165;138.5;149.0;149.6;10 / 19;1856645;2015-03-03 14:28:02:200
-1.0215;3.895;8.7065;-1.5081;4.0275;8.8134;0.1054;-0.0376;-0.1422;-0.004;-0.0203;-0.0095;1.75;-28.94;-29.19;168.15;-24.33;9.96;1003.37;74.956;51.7915;0.211605;691.0;NaN;81.55668;138.5;149.0;149.6;10 / 19;1857146;2015-03-03 14:28:02:701
-1.2643;4.1639;8.7588;-1.5222;4.0606;8.7957;0.1576;0.0757;0.1281;0.0056;0.0117;-0.0031;2.11;-29.29;-28.5;168.41;-24.38;9.81;1003.34;74.57;51.7915;0.211605;691.0;NaN;81.81171;138.5;149.0;149.6;10 / 19;1857645;2015-03-03 14:28:03:200
-1.3809;3.7307;8.5612;-1.4972;4.0297;8.8142;-0.0094;-0.0699;-0.1075;-0.0051;-0.03;-0.001;1.4;-27.18;-28.85;162.52;-24.36;9.92;1003.33;74.338;51.7915;0.211605;691.0;NaN;81.897385;138.5;149.0;149.6;10 / 19;1858145;2015-03-03 14:28:03:700
-1.438;4.1782;8.5922;-1.5077;4.0151;8.8191;0.1016;-0.0123;0.1127;0.0195;0.0096;0.0012;1.23;-29.11;-27.99;166.39;-24.01;9.59;1003.3;75.6;51.7915;0.211605;691.0;NaN;82.1524;138.5;149.0;149.6;10 / 19;1858645;2015-03-03 14:28:04:200
-1.6451;4.1235;8.6041;-1.5306;4.0288;8.8089;0.0095;0.0184;0.0702;0.0067;0.0128;-0.002;1.58;-28.41;-29.36;167.63;-24.26;9.86;1003.29;74.794;51.7915;0.211605;691.0;NaN;82.23706;138.5;149.0;149.6;10 / 19;1859145;2015-03-03 14:28:04:700
-1.4547;3.7807;8.5612;-1.5398;3.9819;8.8286;0.0188;0.0016;0.0651;-0.0029;0.0053;-0.0084;2.81;-28.94;-30.55;170.16;-24.08;9.94;1003.27;74.071;51.7915;0.211605;691.0;NaN;82.4074;138.5;149.0;149.6;9 / 19;1859645;2015-03-03 14:28:05:200
-1.8475;3.7974;8.6017;-1.5707;3.9678;8.8295;-0.0395;-0.0863;6.0E-4;0.0045;0.0106;-0.0052;1.23;-27.71;-29.02;163.99;-23.99;9.88;1003.26;75.356;51.7915;0.211605;691.0;NaN;82.492065;138.5;149.0;149.6;9 / 19;1860145;2015-03-03 14:28:05:700
-1.5428;3.9545;8.8993;-1.5727;4.0077;8.8111;-0.0464;-0.0251;0.1684;0.0174;-0.0065;0.0087;1.58;-28.76;-29.36;168.05;-24.1;10.07;1003.23;75.2;51.7915;0.211605;691.0;NaN;82.74706;138.5;149.0;149.6;9 / 18;1860645;2015-03-03 14:28:06:200
-1.4142;3.8807;8.7945;-1.4977;3.9941;8.8303;0.0912;-0.0265;0.1364;0.0024;-0.0161;-0.0063;1.4;-28.23;-28.85;163.49;-24.13;10.09;1003.2;74.641;51.7915;0.211605;691.0;NaN;83.00306;138.5;149.0;149.6;9 / 18;1861145;2015-03-03 14:28:06:700
-1.0096;4.1901;8.6255;-1.409;3.9689;8.8562;-0.1813;-0.0803;-0.0624;-0.0136;0.0096;-0.0042;0.52;-28.06;-30.38;164.62;-23.87;9.04;1003.17;74.68;51.7915;0.211605;691.0;NaN;83.25804;138.5;149.0;149.6;9 / 19;1861645;2015-03-03 14:28:07:200
-1.2357;4.0759;8.8421;-1.5303;3.9882;8.8274;-0.0013;0.036;-0.0192;0.0142;0.0235;-0.001;2.63;-28.41;-29.02;172.61;-23.9;9.43;1003.16;75.305;51.7915;0.211605;691.0;NaN;83.3427;138.5;149.0;149.6;9 / 19;1862145;2015-03-03 14:28:07:700
-1.1691;3.9021;8.1518;-1.5755;4.016;8.8068;0.1063;-0.0316;-0.0338;0.0045;0.0074;0.0033;1.58;-28.76;-29.02;167.72;-24.16;10.24;1003.13;74.927;51.7915;0.211605;691.0;NaN;83.59867;138.5;149.0;149.6;9 / 19;1862647;2015-03-03 14:28:08:202
-1.6308;3.5784;8.2328;-1.5114;4.0051;8.823;0.0111;-0.1522;-0.3588;-0.0029;-0.0364;-0.0031;1.58;-29.11;-28.33;169.12;-24.11;10.01;1003.12;74.973;51.7915;0.211605;691.0;NaN;83.68333;138.5;149.0;149.6;9 / 19;1863145;2015-03-03 14:28:08:700
-1.9046;3.8259;8.9778;-1.5254;3.9836;8.8303;-0.1003;0.0425;0.05;0.0013;-0.0118;-0.002;1.75;-28.59;-29.53;167.83;-24.02;9.71;1003.1;75.414;51.7915;0.211605;691.0;NaN;83.85364;138.5;149.0;149.6;9 / 19;1863645;2015-03-03 14:28:09:200
-1.369;4.0068;8.7802;-1.6145;3.9937;8.8099;0.1712;-0.0448;0.0644;0.0067;0.0074;0.0012;2.28;-28.41;-29.02;166.4;-23.91;10.58;1003.09;75.204;51.7915;0.211605;691.0;NaN;83.938286;138.5;149.0;149.6;9 / 19;1864145;2015-03-03 14:28:09:700
-1.707;3.8997;8.6779;-1.544;3.9982;8.8205;-0.0323;-5.0E-4;-0.0537;-0.0104;-0.0107;-0.0052;2.46;-28.94;-28.5;168.09;-24.03;10.08;1003.09;75.55;51.7915;0.211605;691.0;NaN;83.938286;138.5;149.0;149.6;9 / 19;1864652;2015-03-03 14:28:10:207
-1.4404;4.0164;8.7683;-1.5369;4.0231;8.8104;-0.0805;-0.0214;0.1508;0.0045;0.0245;0.0012;1.23;-28.76;-29.02;164.91;-24.14;9.83;1003.07;75.905;51.7915;0.211605;691.0;NaN;84.10859;138.5;149.0;149.6;9 / 19;1865147;2015-03-03 14:28:10:702
-1.7189;4.0306;8.7921;-1.5896;4.0111;8.8065;-0.0258;0.0407;0.0176;-0.0147;-0.0225;-0.0084;1.75;-27.88;-28.16;168.15;-24.16;10.15;1003.06;74.872;51.7915;0.211605;691.0;NaN;84.19324;138.5;149.0;149.6;9 / 19;1865645;2015-03-03 14:28:11:200
